Surname,Region
გეგიძე,იმერეთი
გეგუჩია,იმერეთი
გეგუჩაძე,იმერეთი
გელაზანია,იმერეთი
გელაშვილი,იმერეთი
გელაძე,იმერეთი
გელბაკიძე,იმერეთი
გელბაქიძე,იმერეთი
გელბახიანი,იმერეთი
გელეიშვილი,იმერეთი
გელენიძე,იმერეთი
გელოვნიძე,იმერეთი
გელხუიძე,იმერეთი
გენებაშვილი,იმერეთი
გენძეხაძე,იმერეთი
გერაძე,იმერეთი
გერგაია,იმერეთი
გერსამია,იმერეთი
გეფერიძე,იმერეთი
გეწაძე,იმერეთი
გვადიბაძე,იმერეთი
გვალია,იმერეთი
გვამბერიძე,იმერეთი
გვანცელაძე,იმერეთი
გვარაკიძე,იმერეთი
გვარამაძე,იმერეთი
გვარუციძე,იმერეთი
გვახარია,იმერეთი
გველებიანი,იმერეთი
გველესიანი,იმერეთი
გვენეტაძე,იმერეთი
გვენცაძე,იმერეთი
გვეტაძე,იმერეთი
გვეხიძე,იმერეთი
გვიანიძე,იმერეთი
გვილავა,იმერეთი
გვინჩიძე,იმერეთი
გვინჯილია,იმერეთი
გვიჯაბიძე,იმერეთი
გვრიტიძე,იმერეთი
გიგატაძე,იმერეთი
გიგაშვილი,იმერეთი
გიგიაძე,იმერეთი
გიორგაძე,იმერეთი
გიორგიძე,იმერეთი
გიორგობიანი,იმერეთი
გიორხელიძე,იმერეთი
გრიგოლაშვილი,იმერეთი
გლოველი,იმერეთი
გლუნჩაძე,იმერეთი
გლუჩაიძე,იმერეთი
გობაძე,იმერეთი
გობიანი,იმერეთი
გობრომიძე,იმერეთი
გობრონიძე,იმერეთი
გოგაბერაძე,იმერეთი
გოგავა,იმერეთი
გოგალაძე,იმერეთი
გოგალიძე,იმერეთი
გოგატიშვილი,იმერეთი
გოგაძე,იმერეთი
გოგბერაშვილი,იმერეთი
გოგბერაძე,იმერეთი
გოგელაშვილი,იმერეთი
გოგელაძე,იმერეთი
გოგელიძე,იმერეთი
გოგესაშვილი,იმერეთი
გოგიაშვილი,იმერეთი
გოგიბერიძე,იმერეთი
გოგილიძე,იმერეთი
გოგინაძე,იმერეთი
გოგისვანა,იმერეთი
გოგისვანაძე,იმერეთი
გოგისვანიძე,იმერეთი
გოგიტაური,იმერეთი
გოგიტაძე,იმერეთი
გოგიტოური,იმერეთი
გოგიშვილი,იმერეთი
გოგიჩაძე,იმერეთი
გოგიძე,იმერეთი
