Surname,Region
ფრანგულაშვილი,გურია
ფხეიძე,გურია
ქადეიშვილი,გურია
ქადიძე,გურია
ქავზიანიძე,გურია
ქავჟარაძე,გურია
ქამალაძე,გურია
ქარჩილაძე,გურია
ქარცივაძე,გურია
ქელბაქიანი,გურია
ქვეითაია,გურია
ქვილორია,გურია
ქილიფთარი,გურია
ქინქლაძე,გურია
ქიქოძე,გურია
ქობალიანი,გურია
ქონიაძე,გურია
ქორიძე,გურია
ქურასბედიანი,გურია
ქურიძე,გურია
ქურცუა,გურია
ქუტიძე,გურია
ღაჟონია,გურია
ღელეყვა,გურია
ღლონტი,გურია
ღურჭუმელიძე,გურია
ყაზაიშვილი,გურია
ყარაჯაშვილი,გურია
ყარგიშვილი,გურია
ყაჭეიშვილი,გურია
ყენია,გურია
ყურაძე,გურია
შავიშვილი,გურია
შალიკავა,გურია
შანთაძე,გურია
შარაძენიძე,გურია
შაფაქიძე,გურია
შევარდნაძე,გურია
შელიავა,გურია
შეწირული,გურია
შილაკაძე,გურია
შიშმანაშვილი,გურია
შოვნაძე,გურია
შონიძე,გურია
შოშიტაიშვილი,გურია
ჩავლეშვილი,გურია
ჩანტლაძე,გურია
ჩანქსელიანი,გურია
ჩანჩიბაძე,გურია
ჩაქსელიანი,გურია
ჩახვაძე,გურია
ჩახუნაიშვილი,გურია
ჩიგოგიძე,გურია
ჩიკაშუა,გურია
ჩიჩხაშვილი,გურია
ჩოგაძე,გურია
ჩოლობარგია,გურია
ჩხაიძე,გურია
ჩხარტიშვილი,გურია
ჩხატარაშვილი,გურია
ჩხიკვიშვილი,გურია
ცაცანიძე,გურია
ცელაძე,გურია
ცენტერაძე,გურია
ცეცხლაძე,გურია
ციბირაშვილი,გურია
ციკორია,გურია
ცისკარიძე,გურია
ცქვიტინიძე,გურია
ცხოიძე,გურია
ცხომელიძე,გურია
ძიმისტარიშვილი,გურია
ძირკვაძე,გურია
ძნელაძე,გურია
წასიძე,გურია
წითაძე,გურია
წითურიძე,გურია
წილოსანი,გურია
წინწკალაძე,გურია
წიქარაძე,გურია
წიქორია,გურია
წულაძე,გურია
წყავზარაძე,გურია
ჭაკნელიძე,გურია
ჭანიშვილი,გურია
ჭანტურიშვილი,გურია
ჭანუყვაძე,გურია
ჭახაძე,გურია
ჭეფხოძე,გურია
ჭინჭარაძე,გურია
ჭიჭილეიშვილი,გურია
ჭიხვარია,გურია
ჭკუასელი,გურია
ჭყონია,გურია
ხაბეიშვილი,გურია
ხავთასი,გურია
ხარატი,გურია
ხარიშვილი,გურია
ხახუტაიშვილი,გურია
ხინველი,გურია
ხინთიბიძე,გურია
ხინიკაძე,გურია
ხიტირი,გურია
ხიშტოვანი,გურია
ხიხალაშვილი,გურია
ხმელიძე,გურია
ხომერიკი,გურია
ხონელია,გურია
ხოფერია,გურია
ხოშორაძე,გურია
ხოჯანაშვილი,გურია
ხურციკიძე,გურია
ხურციძე,გურია
ხუტულაშვილი,გურია
ხუხუნაიშვილი,გურია
ხუხუნაშვილი,გურია
ჯაბუა,გურია
ჯაველიძე,გურია
ჯამბერიძე,გურია
ჯაში,გურია
ჯახვა,გურია
ჯახუტაშვილი,გურია
ჯვართავა,გურია
ჯიბლაძე,გურია
ჯიბუტი,გურია
ჯიმშერაძე,გურია
ჯიჯეიშვილი,გურია
ჯიჯიეშვილი,გურია
ჯოიძე,გურია
ჯორბენაძე,გურია
ჯოყილაძე,გურია
