Surname,Region
ჯაველიძე,აჭარა
ჯაიანი,აჭარა
ჯანბერიძე,აჭარა
ჯანუაშვილი,აჭარა
ჯანუყვაძე,აჭარა
ჯაფარიძე,აჭარა
ჯაყელი,აჭარა
ჯაყელიძე,აჭარა
ჯახუტაშვილი,აჭარა
ჯევაიში,აჭარა
ჯიბაშვილი,აჭარა
ჯიბლაძე,აჭარა
ჯიბუტი,აჭარა
ჯიგანაძე,აჭარა
ჯიმშერაძე,აჭარა
ჯინჭარაძე,აჭარა
ჯინჭველაშვილი,აჭარა
ჯინჭველეიშვილი,აჭარა
ჯინჯარაძე,აჭარა
ჯიხაშვილი,აჭარა
ჯიხაძე,აჭარა
ჯიჯავაძე,აჭარა
ჯიჯეიშვილი,აჭარა
ჯოიძე,აჭარა
ჯორთმენაძე,აჭარა
ჯოხთაბერიძე,აჭარა
ჯოხიძე,აჭარა
ჯუმუშაძე,აჭარა
