Surname,Region
გულუღაშვილი,კახეთი
გულხადარაშვილი,კახეთი
გუმაშვილი,კახეთი
გუნაშაშვილი,კახეთი
გურამიშვილი,კახეთი
გურასიძე,კახეთი
გურასპაული,კახეთი
გურასპიშვილი,კახეთი
გურაშვილი,კახეთი
გურგენაშვილი,კახეთი
გურგენიშვილი,კახეთი
გუსარიშვილი,კახეთი
გუშარაშვილი,კახეთი
გუჩაშვილი,კახეთი
გუჯიშვილი,კახეთი
გუჯიაშვილი,კახეთი
დაბახიშვილი,კახეთი
დაბრუდაშვილი,კახეთი
დარქიზანიძე,კახეთი
დადალაური,კახეთი
დავდგირიძე,კახეთი
დავითელაშვილი,კახეთი
დავითინიძე,კახეთი
დავითნიძე,კახეთი
დავითოშვილი,კახეთი
დავითური,კახეთი
დათეშიძე,კახეთი
დათიშვილი,კახეთი
დათოშვილი,კახეთი
დათუაშვილი,კახეთი
დათუკაშვილი,კახეთი
დათუკიშვილი,კახეთი
დათულიშვილი,კახეთი
დათუნაშვილი,კახეთი
დათუნიშვილი,კახეთი
დალბაშვილი,კახეთი
დანაჭრელაშვილი,კახეთი
დანელაშვილი,კახეთი
დანელიშვილი,კახეთი
დანიელაშვილი,კახეთი
დარაშვილი,კახეთი
დარეჯანაშვილი,კახეთი
დარიაშვილი,კახეთი
დარისპანაშვილი,კახეთი
დარჩაშვილი,კახეთი
დარჩიაშვილი,კახეთი
დარძელი,კახეთი
დარძული,კახეთი
დარძულიძე,კახეთი
დაუდაშვილი,კახეთი
დაუდიშვილი,კახეთი
დაქიურიძე,კახეთი
დაქიშვილი,კახეთი
დაქუზაშვილი,კახეთი
დაღელიშვილი,კახეთი
დაღუნდარიძე,კახეთი
დეგეტაშვილი,კახეთი
დედაბრიშვილი,კახეთი
დევდარიძე,კახეთი
დევიძე,კახეთი
დევლარაშვილი,კახეთი
დევლარიშვილი,კახეთი
დეკანოზიშვილი,კახეთი
დელიბაშვილი,კახეთი
დემინაშვილი,კახეთი
დემურაშვილი,კახეთი
დემურიშვილი,კახეთი
დემურხანაშვილი,კახეთი
დენტოშვილი,კახეთი
დიაკვნიშვილი,კახეთი
დიაური,კახეთი
დიდებულიძე,კახეთი
დიდმარხვაშვილი,კახეთი
დიერაშვილი,კახეთი
დინგაშვილი,კახეთი
დინოშვილი,კახეთი
დიღმელაშვილი,კახეთი
დიღმელიშვილი,კახეთი
დობაძიშვილი,კახეთი
დოდაშვილი,კახეთი
დოინჯიშვილი,კახეთი
დოიჯაშვილი,კახეთი
დოლაშვილი,კახეთი
დოლაძე,კახეთი
დოლენჯაშვილი,კახეთი
დოლენჯიშვილი,კახეთი
დოლმაზაშვილი,კახეთი
დომელიშვილი,კახეთი
დონჯაშვილი,კახეთი
დოროყაშვილი,კახეთი
დოღანაძე,კახეთი
დოჯურიშვილი,კახეთი
დრეიძე,კახეთი
დუდაური,კახეთი
დუიშვილი,კახეთი
