Surname,Region
გვარამიანი,სამეგრელო
გვასალია,სამეგრელო
გვაძაბია,სამეგრელო
გვაძავა,სამეგრელო
გვაძაბია,სამეგრელო
გვახარია,სამეგრელო
გვაჯავა,სამეგრელო
გვაჯაია,სამეგრელო
გვაჯილავა,სამეგრელო
გველესიანი,სამეგრელო
გვილავა,სამეგრელო
გვილია,სამეგრელო
გვიჩია,სამეგრელო
გვიჩიანი,სამეგრელო
გიგავა,სამეგრელო
გიგაია,სამეგრელო
გიგანი,სამეგრელო
გიგაშვილი,სამეგრელო
გიგიბერია,სამეგრელო
გიდელია,სამეგრელო
გიგინეიშვილი,სამეგრელო
გითოლენდია,სამეგრელო
გიორგაძე,სამეგრელო
გიორგხელიძე,სამეგრელო
გირგალავა,სამეგრელო
გირგვლიანი,სამეგრელო
გირგოლავა,სამეგრელო
გობეჩია,სამეგრელო
გოგავა,სამეგრელო
გოგაია,სამეგრელო
გოგატიშვილი,სამეგრელო
გოგებაშვილი,სამეგრელო
გოგელიანი,სამეგრელო
გოგენაშვილი,სამეგრელო
გოგენია,სამეგრელო
გოგია,სამეგრელო
გოგიავა,სამეგრელო
გოგიბერია,სამეგრელო
გოგიბერიძე,სამეგრელო
გოგილავა,სამეგრელო
გოგინავა,სამეგრელო
გოგინაშვილი,სამეგრელო
გოგიშვილი,სამეგრელო
გოგოლავა,სამეგრელო
გოგოლაძე,სამეგრელო
გოგოლი,სამეგრელო
გოგოლიშვილი,სამეგრელო
გოგონაია,სამეგრელო
გოგონძია,სამეგრელო
გოგოძე,სამეგრელო
გოგოხია,სამეგრელო
გოგსანია,სამეგრელო
გოგსაძე,სამეგრელო
გოგუა,სამეგრელო
გოგულია,სამეგრელო
გოდორაძე,სამეგრელო
გოდუა,სამეგრელო
გოთიშია,სამეგრელო
გოლავა,სამეგრელო
გოლანძია,სამეგრელო
გოლეთიანი,სამეგრელო
გოლობიანი,სამეგრელო
გოლუბიანი,სამეგრელო
გორგაძე,სამეგრელო
გორგილაძე,სამეგრელო
გორდეზიანი,სამეგრელო
გორდელავა,სამეგრელო
გორდულავა,სამეგრელო
გორდულაძე,სამეგრელო
გოროზია,სამეგრელო
გოროზიანი,სამეგრელო
გოროშიძე,სამეგრელო
გოქაძე,სამეგრელო
გოქსანია,სამეგრელო
გოშუა,სამეგრელო
გოჩავა,სამეგრელო
გოჩოლავა,სამეგრელო
გოჩოლეიშვილი,სამეგრელო
გოჩუა,სამეგრელო
გოცაძე,სამეგრელო
გოცირიძე,სამეგრელო
გოძილანძე,სამეგრელო
გრიგალავა,სამეგრელო
გრიგალაშვილი,სამეგრელო
გრიგოლავა,სამეგრელო
გრიგოლაია,სამეგრელო
გროგოლია,სამეგრელო
გუგავა,სამეგრელო
გუგულავა,სამეგრელო
გუგუნავა,სამეგრელო
გუგუსიანი,სამეგრელო
გუგუშვილი,სამეგრელო
გუგუჩია,სამეგრელო
გუდავა,სამეგრელო
გულაია,სამეგრელო
გულარია,სამეგრელო
გულბანი,სამეგრელო
გულბიანი,სამეგრელო
გულედანი,სამეგრელო
გულია,სამეგრელო
გულიაშვილი,სამეგრელო
გულისია,სამეგრელო
გულორდავა,სამეგრელო
გულუა,სამეგრელო
გუნავა,სამეგრელო
გუნია,სამეგრელო
გუნჯუა,სამეგრელო
გურალია,სამეგრელო
გურგულია,სამეგრელო
გურგულიანი,სამეგრელო
გურიელი,სამეგრელო
გურჩიანი,სამეგრელო
გურული,სამეგრელო
გუჩუა,სამეგრელო
გუჯეჯიანი,სამეგრელო
გოგხანია,სამეგრელო
გულიშია,სამეგრელო
გულისკერია,სამეგრელო
გუბელაძე,სამეგრელო
